Rank,Location,Mentions,Letter Count
1,"Dell Rapids",206,206
3,"Stjørdal",91,91
5,"Trondheim",86,86
6,"Narvik",69,69
17,"Hegra",41,41
22,"Eidum",31,31
23,"Norway",30,30
32,"Verden",22,22
35,"Sverige",20,20
40,"Sluppen",17,17
48,"Trondhjem",15,15
49,"Oslo",15,15
54,"Stjørdalen",13,13
59,"Levanger",12,12
61,"Opdal",12,12
62,"USA",11,11
101,"Jasper",8,8
108,"Bergen",8,8
111,"Rosenborgsgt",7,7
115,"Nonnegt",7,7
117,"Norge",7,7
119,"Dakota",7,7
129,"Jorden",6,6
136,"Heggedal",6,6
144,"Sykehuset",6,6
145,"Narvik",6,6
159,"Hegre",5,5
164,"Himlen",5,5
171,"Værnes",5,5
178,"Norden",5,5
182,"Skogn",5,5
186,"Vesterålen",5,5
188,"Veggemo",5,5
209,"Afrika",4,4
216,"Sjøen",4,4
226,"Trollheimen",4,4
237,"America",4,4
240,"Stjørdalens Sparebank",4,4
244,"Østersund",3,3
245,"Minnesota",3,3
262,"London",3,3
268,"New York",3,3
269,"Tyskland",3,3
272,"Casablanca",3,3
274,"Sverge",3,3
281,"Trøndelag",3,3
288,"Måned",3,3
291,"California",3,3
310,"Syd Dakota",3,3
317,"Heim",3,3
335,"England",3,3
339,"Atlanteren",3,3
352,"Kirken",3,3
358,"South Dakota",3,3
363,"Hos Olava",2,2
367,"Skandsen",2,2
368,"Toget",2,2
382,"Himmelen",2,2
402,"Chikago",2,2
414,"Fransk Morrokko",2,2
417,"Falstad",2,2
419,"Vollan",2,2
421,"Vernes",2,2
455,"Calefornia",2,2
459,"World",2,2
478,"Jord",2,2
481,"Nord Norge",2,2
483,"Iowa",2,2
489,"Thjem",2,2
517,"Skogen",2,2
520,"Stjørdalshalsen",2,2
554,"Tydal",2,2
555,"Sundalsøra",2,2
566,"Sioux Falls",2,2
575,"Fornebu",2,2
588,"Australia",2,2
678,"Trondhjem",1,1
698,"Moose Lake",1,1
705,"Ouropa",1,1
720,"Vangberg Høiskolegaten",1,1
743,"Holm Rosenborgsgt",1,1
759,"Tyrefjord",1,1
816,"Østerrike",1,1
818,"Skandinavia",1,1
819,"Gråkallen",1,1
826,"Fabrikken",1,1
827,"Fabriken",1,1
885,"Oslo",1,1
887,"Lindgård",1,1
890,"Finlann",1,1
900,"Ringulv",1,1
901,"Casalanca",1,1
903,"Ringul Konsulat",1,1
914,"Baltimore",1,1
919,"Grini",1,1
920,"Oraneburg Tyskland",1,1
933,"Japan",1,1
937,"Chicago",1,1
966,"Stockholm",1,1
1020,"Seville",1,1
1021,"Vandøia",1,1
1060,"Ammerika",1,1
1061,"Sidishave",1,1
1068,"Palestina",1,1
1262,"Lofoten",1,1
1267,"Paradis",1,1
1271,"Sululand",1,1
1327,"Dell Rapids",1,1
1390,"Himmelbjerg",1,1
1482,"Minneapolis",1,1
1494,"Europe",1,1
1527,"Methodistkirken",1,1
1646,"Tromsø",1,1
1647,"Romsdalen",1,1
1651,"Troms",1,1
1652,"Nordkapp",1,1
1653,"Solheim",1,1
1655,"Maanen",1,1
1680,"Røvhaugen",1,1
1686,"Sør Trøndelag",1,1
1718,"Saltfjellet",1,1
1750,"Baltimar",1,1
1766,"Oslo Lufthavn",1,1
1782,"Fornebu Lufthavn",1,1
1791,"Sundal",1,1
1804,"Silver Lake",1,1
1809,"Finnland",1,1
1814,"Stokholm",1,1
1820,"Nordishavet",1,1
1827,"Russen",1,1
1829,"Findland",1,1
1833,"Grønland",1,1
1834,"Flybasis",1,1
1897,"Kina",1,1
1902,"Boston",1,1
1918,"Salt Laik",1,1
1927,"Norskekysten",1,1
1928,"Vestlandet",1,1
1931,"Bergen",1,1
2148,"Rusland",1,1
2256,"Iowa",1,1
2262,"Mineapolis",1,1